arxiv_name,top1_acc,link
2403.12952v2.pdf,NA,
2403.11530v2.pdf,NA,
2403.11491v1.pdf,NA,
2403.10030v3.pdf,NA,
2403.09948v3.pdf,NA,
2403.08157v1.pdf,NA,
2403.07356v1.pdf,NA,
2403.06288v1.pdf,NA,
2403.05894v1.pdf,NA,
2403.03849v5.pdf,NA,
2403.01944v2.pdf,NA,
2403.02308v3.pdf,NA,
2403.00543v1.pdf,NA,
2403.00522v2.pdf,NA,
2402.19305v2.pdf,NA,
2402.18133v2.pdf,NA,
2402.18614v1.pdf,NA,
2402.17318v1.pdf,NA,
2402.16370v1.pdf,NA,
2402.16090v1.pdf,NA,
2402.15490v2.pdf,NA,
2402.14937v1.pdf,NA,
2402.12525v1.pdf,NA,
2402.11301v2.pdf,NA,
2402.09816v1.pdf,NA,
2402.10063v1.pdf,NA,
2402.10046v2.pdf,NA,
2402.09059v1.pdf,NA,
2402.09316v1.pdf,NA,
2402.09240v2.pdf,NA,
2402.07595v2.pdf,NA,
2402.06537v2.pdf,NA,
2402.06249v1.pdf,NA,
2402.06580v2.pdf,NA,
2402.05391v4.pdf,NA,
2402.04252v1.pdf,NA,
2402.02554v2.pdf,NA,
2402.02094v1.pdf,NA,
2402.02103v2.pdf,NA,
2402.01169v1.pdf,NA,
2401.16991v1.pdf,NA,
2401.16456v2.pdf,NA,
2401.15942v1.pdf,NA,
2401.14555v2.pdf,NA,
2401.10962v2.pdf,NA,
2401.09417v3.pdf,NA,
2401.08541v1.pdf,NA,
2401.08469v1.pdf,NA,
2401.07853v2.pdf,NA,
2401.06197v1.pdf,NA,
2401.05768v1.pdf,NA,
2401.05224v2.pdf,NA,
2401.04575v2.pdf,NA,
2401.03384v1.pdf,NA,
2401.02838v1.pdf,NA,
2401.02955v2.pdf,NA,
2401.02020v1.pdf,NA,
2401.01724v1.pdf,NA,
Maxwell_Logarithmic_Lenses_Exploring_Log_RGB_Data_for_Image_Classification_CVPR_2024_paper.pdf,NA,https://openaccess.thecvf.com/content/CVPR2024/papers/Maxwell_Logarithmic_Lenses_Exploring_Log_RGB_Data_for_Image_Classification_CVPR_2024_paper.pdf
Srivastava_OmniVec2_-_A_Novel_Transformer_based_Network_for_Large_Scale_CVPR_2024_paper.pdf,NA,https://openaccess.thecvf.com/content/CVPR2024/papers/Srivastava_OmniVec2_-_A_Novel_Transformer_based_Network_for_Large_Scale_CVPR_2024_paper.pdf
Ming_Transferable_Structural_Sparse_Adversarial_Attack_Via_Exact_Group_Sparsity_Training_CVPR_2024_paper.pdf,NA,https://openaccess.thecvf.com/content/CVPR2024/papers/Ming_Transferable_Structural_Sparse_Adversarial_Attack_Via_Exact_Group_Sparsity_Training_CVPR_2024_paper.pdf
Zhao_PSDPM_Prototype-based_Secondary_Discriminative_Pixels_Mining_for_Weakly_Supervised_Semantic_CVPR_2024_paper.pdf,NA,https://openaccess.thecvf.com/content/CVPR2024/papers/Zhao_PSDPM_Prototype-based_Secondary_Discriminative_Pixels_Mining_for_Weakly_Supervised_Semantic_CVPR_2024_paper.pdf
Miao_Bayesian_Exploration_of_Pre-trained_Models_for_Low-shot_Image_Classification_CVPR_2024_paper.pdf,NA,https://openaccess.thecvf.com/content/CVPR2024/papers/Miao_Bayesian_Exploration_of_Pre-trained_Models_for_Low-shot_Image_Classification_CVPR_2024_paper.pdf
2401.00692v3.pdf,NA,
2401.00137v2.pdf,NA,
2312.17742v1.pdf,83,
2312.16880v1.pdf,NA,
2312.16451v3.pdf,NA,
2312.15297v1.pdf,NA,
2312.15112v3.pdf,72.89,
2312.10376v1.pdf,NA,
2312.11548v1.pdf,NA,
2312.10136v3.pdf,83.91,
2312.08874v3.pdf,85.8,
2312.09299v1.pdf,NA,
